"Pal","InSA","ATM","AA","NT","Nea"
0.0781301818793566,0.0781301818793566,NA,NA,NA,0.0781301818793566
0.0800250496724921,0.0801783837316708,NA,NA,NA,0.0800250496724921
0.0824906960409589,0.0827093706684705,NA,NA,NA,0.0824906960409589
0.0860088976437877,0.0863487502619946,NA,NA,NA,0.0860088976437877
0.0893810838980119,0.0896508546999225,NA,NA,NA,0.0893810838980119
0.0926810822969175,0.0928179271015682,NA,NA,NA,0.0926790211954965
0.0957591352456057,0.0953982795310479,NA,NA,NA,0.095752162032932
0.098600700555999,0.0985076249935293,0.0984038991277366,NA,NA,0.0986050668104584
0.101335754062909,0.102518813879988,0.100482128851392,NA,0.10360621888941,0.101348512493398
0.103814162281967,0.10949088361266,0.103958917887918,0.144586432890136,0.116899695348294,0.103861457473759
0.108332042614375,0.111222507881281,0.107270180723015,0.133886786995983,0.120135301003474,0.105825849672542
0.13558312004799,0.112986633413127,0.109812686537212,0.119163841343598,0.122791136130481,0.108410343968468
0.134843237133416,0.112429072285845,0.118602488774895,0.114695578851175,0.121026428290672,0.125728559581448
0.136866471121073,0.115399924973486,0.125204946293878,0.109936294404939,0.124809032389008,0.124740663187697
0.141754506121462,0.119376312233422,0.138791542255435,0.105581961595445,0.12936468780066,0.138637668767535
0.135818424696272,0.120617090275271,0.141847511963261,0.1038563884731,0.13147895322406,0.132941454643259
0.133664521530355,0.122232904919374,0.162861376888285,0.103991175220929,0.136168935148084,0.142530723469649
0.142472606716738,0.126317471837161,0.164023996605318,0.10055207427068,0.144925950935393,0.141684792511871
0.158264988197466,0.129889458153111,0.165654783226659,0.10475954283603,0.150665724606383,0.158995861892672
0.168903392008989,0.15217325918772,0.177044760867177,0.107526091210034,0.162566811558656,0.166927256431082
0.191135880907122,0.168227820802007,0.226334645989699,0.132324992815686,0.185608234039744,0.176515981379426
