"Pal","InSA","ATM","AA","NT","Nea"
0.0789048912568031,0.0789048912568031,NA,NA,NA,0.0789048912568031
0.0808180136915889,0.0809730546004297,NA,NA,NA,0.0808180136915889
0.0833071329819643,0.0835289331447795,NA,NA,NA,0.0833071329819643
0.0868596800771859,0.0872045473057619,NA,NA,NA,0.0868596800771859
0.0902646511244279,0.0905395290620679,NA,NA,NA,0.0902646511244279
0.0935953251680421,0.0937378126499332,NA,NA,NA,0.0935932434556069
0.0967016398323911,0.0963423750978248,NA,NA,NA,0.0966945968875906
0.0995693936417592,0.0994809330532545,0.0993811006159318,NA,NA,0.0995738035587631
0.102328963827521,0.103530677180682,0.101479959557377,NA,0.104635423381313,0.102341849842315
0.104832743812578,0.110569293000335,0.104989335720913,0.146023627245354,0.118061326846551,0.104877270043573
0.109400496070622,0.112310356825502,0.108331600231414,0.135206414474926,0.121324844649365,0.106866220052566
0.136921699675481,0.114092144797699,0.11089727260616,0.120323472627939,0.124003476470954,0.109464623421956
0.136171765343642,0.113518691185513,0.119770256338389,0.115802954976653,0.122220088688598,0.12694075137129
0.138210320503763,0.116520498389298,0.126420248208442,0.110991788478929,0.126036071642413,0.125945452548579
0.143136440373655,0.120536769181898,0.140108554233964,0.106592924729888,0.130633672830031,0.139969471841573
0.137141722404638,0.121790700377882,0.143166876549462,0.104848524472002,0.132769856565645,0.134211819235199
0.134965464113319,0.123421371597215,0.164317389560089,0.104984780728307,0.137504749436726,0.143899445182359
0.143846624718519,0.127532178356276,0.165498420790824,0.101508736983701,0.146342809373164,0.143055847327519
0.159766309219515,0.131129812029951,0.167116599794896,0.105759694451785,0.152130902472821,0.160517746607733
0.170488164614368,0.153544460248839,0.178579210394909,0.108543506727789,0.164121223255359,0.168510955554943
0.192878796511304,0.169706004754083,0.228173699141784,0.133516582048656,0.187336056135622,0.178157310311572
